Identifier  Period  Choice         Wage  Experience_A  Experience_B  Years_Schooling  Lagged_Activity
        15       6       4            .             0             0               16                1
        15       7       1   26246.3700             0             0               16                0
        16       0       3            .             0             0               10                1
        16       1       3            .             0             0               11                1
        16       2       3            .             0             0               12                1
        16       3       3            .             0             0               13                1
        16       4       2    7376.7080             0             0               14                1
        16       5       2   10101.4300             0             1               14                3
        16       6       2    9452.8490             0             2               14                3
        16       7       1   15843.3500             0             3               14                3
        17       0       3            .             0             0                9                0
        17       1       3            .             0             0               10                1
        17       2       3            .             0             0               11                1
        17       3       2            .             0             0               12                1
        17       4       3            .             0             1               12                3
        17       5       3            .             0             1               13                1
        17       6       3            .             0             1               14                1
        17       7       3            .             0             1               15                1
        17       8       3            .             0             1               16                1
        18       0       3            .             0             0                9                0
        18       1       3            .             0             0               10                1
        18       2       3            .             0             0               11                1
        18       3       3            .             0             0               12                1
        18       4       3            .             0             0               13                1
        18       5       4            .             0             0               14                1
        18       6       4            .             0             0               14                0
        18       7       3            .             0             0               14                0
        19       0       3            .             0             0                9                0
        19       1       3            .             0             0               10                1
        19       2       3            .             0             0               11                1
        20       0       3            .             0             0               10                1
        20       1       3            .             0             0               11                1
        20       2       3            .             0             0               12                1
        20       3       3            .             0             0               13                1
        20       4       3            .             0             0               14                1
        20       5       4            .             0             0               15                1
        20       6       3            .             0             0               15                0
        20       7       1   23124.9500             0             0               16                1
        20       8       1   23450.9800             1             0               16                2
        20       9       1   25356.2600             2             0               16                2
        20      10       1   28123.2000             3             0               16                2
        21       0       3            .             0             0               10                1
        21       1       3            .             0             0               11                1
        21       2       1    7345.8470             0             0               12                1
        21       3       3            .             1             0               12                2
        21       4       3            .             1             0               13                1
        21       5       1    6224.4240             1             0               14                1
        21       6       3            .             2             0               14                2
        21       7       3            .             2             0               15                1
        21       8       1   16354.6000             2             0               16                1
        21       9       1   17998.0600             3             0               16                2
        22       0       4            .             0             0                9                0
        22       1       4            .             0             0                9                0
        23       0       3            .             0             0               10                1
        23       1       3            .             0             0               11                1
        23       2       3            .             0             0               12                1
        23       3       3            .             0             0               13                1
        23       4       3            .             0             0               14                1
        23       5       3            .             0             0               15                1
        23       6       2   23169.6300             0             0               16                1
        23       7       1   34858.9100             0             1               16                3
        23       8       1   66216.4800             1             1               16                2
        23       9       1   59996.0900             2             1               16                2
        24       0       3            .             0             0               10                1
        24       1       3            .             0             0               11                1
        24       2       2   16589.2500             0             0               12                1
        24       3       2            .             0             1               12                3
        24       4       4            .             0             2               12                3
        24       5       2   19781.4800             0             2               12                0
        24       6       2   17583.7100             0             3               12                3
        24       7       2   31800.7200             0             4               12                3
        24       8       2   26113.4500             0             5               12                3
        24       9       2   28115.8500             0             6               12                3
        25       0       3            .             0             0               10                1
        25       1       3            .             0             0               11                1
        25       2       3            .             0             0               12                1
        25       3       3            .             0             0               13                1
        25       4       1   19341.3800             0             0               14                1
        25       5       1   19169.7600             1             0               14                2
        25       6       2            .             2             0               14                2
        25       7       1            .             2             1               14                3
        25       8       1   17524.9200             3             1               14                2
        25       9       1   19675.0300             4             1               14                2
        26       0       3            .             0             0               10                1
        26       1       2            .             0             0               11                1
        26       2       2   14865.6300             0             1               11                3
        26       3       2   19318.0500             0             2               11                3
        26       4       2   18513.9900             0             3               11                3
        26       5       2   17654.7900             0             4               11                3
        26       6       2   19876.9000             0             5               11                3
        26       7       2   23448.2500             0             6               11                3
        26       8       2   25069.7900             0             7               11                3
        26       9       1   25266.6100             0             8               11                3
        26      10       1   24374.4200             1             8               11                2
        27       0       3            .             0             0               10                1
        27       1       3            .             0             0               11                1
        27       2       4            .             0             0               12                1
        27       3       3            .             0             0               12                0
        27       4       1   11823.0200             0             0               13                1
        27       5       1   20534.2400             1             0               13                2
        27       6       2   20771.9400             2             0               13                2
        27       7       2   23399.4200             2             1               13                3
        28       0       3            .             0             0               11                1
        28       1       4            .             0             0               12                1
        29       0       3            .             0             0               10                1
        29       1       4            .             0             0               11                1
        29       2       4            .             0             0               11                0
        29       3       4            .             0             0               11                0
        29       4       4            .             0             0               11                0
        29       5       2    7902.6190             0             0               11                0
        29       6       2    8285.8620             0             1               11                3
        29       7       4            .             0             2               11                3
        29       8       2   15144.7900             0             2               11                0
        29       9       2   11692.4100             0             3               11                3
        30       0       3            .             0             0               10                1
        30       1       3            .             0             0               11                1
        30       2       2            .             0             0               12                1
        31       0       3            .             0             0               10                1
        31       1       3            .             0             0               11                1
        31       2       2   10804.6200             0             0               12                1
        31       3       1   10699.2300             0             1               12                3
        31       4       2   11751.4300             1             1               12                2
        31       5       2   17951.4300             1             2               12                3
        31       6       2            .             1             3               12                3
        31       7       2            .             1             4               12                3
        31       8       2   20185.3800             1             5               12                3
        32       0       4            .             0             0                9                0
        32       1       2   31243.1500             0             0                9                0
        32       2       2   13060.8000             0             1                9                3
        32       3       4            .             0             2                9                3
        32       4       1   15654.1700             0             2                9                0
        32       5       2   22286.9100             1             2                9                2
        32       6       2   11648.3300             1             3                9                3
        32       7       2   24255.9200             1             4                9                3
        32       8       2   27333.3200             1             5                9                3
        33       0       3            .             0             0               10                1
        33       1       3            .             0             0               11                1
        33       2       3            .             0             0               12                1
        33       3       3            .             0             0               13                1
        33       4       3            .             0             0               14                1
        33       5       4            .             0             0               15                1
        33       6       1   10642.9300             0             0               15                0
        33       7       1   20245.3300             1             0               15                2
        33       8       1   27856.3800             2             0               15                2
        33       9       1   43718.7900             3             0               15                2
        33      10       1   37201.3000             4             0               15                2
        34       0       3            .             0             0               10                1
        34       1       3            .             0             0               11                1
        34       2       3            .             0             0               12                1
        34       3       3            .             0             0               13                1
        34       4       3            .             0             0               14                1
        34       5       3            .             0             0               15                1
        34       6       1   19472.4200             0             0               16                1
        34       7       1   12402.4000             1             0               16                2
        34       8       1   13356.4100             2             0               16                2
        34       9       1   30926.2600             3             0               16                2
        35       0       3            .             0             0               10                1
        35       1       3            .             0             0               11                1
        35       2       2            .             0             0               12                1
        35       3       2   11746.0100             0             1               12                3
        35       4       1    8269.4510             0             2               12                3
        35       5       1    8043.3280             1             2               12                2
        35       6       2   20301.0500             2             2               12                2
        35       7       1   18501.8100             2             3               12                3
        35       8       2   19159.1200             3             3               12                2
        35       9       3            .             3             4               12                3
        36       0       3            .             0             0               10                1
        36       1       3            .             0             0               11                1
        36       2       3            .             0             0               12                1
        36       3       2   11367.1300             0             0               13                1
        36       4       3            .             0             1               13                3
        36       5       2   14284.7700             0             1               14                1
        36       6       3            .             0             2               14                3
        36       7       4            .             0             2               15                1
        36       8       2   16859.8200             0             2               15                0
        36       9       3            .             0             3               15                3
        37       0       4            .             0             0                9                0
        38       0       3            .             0             0               10                1
        38       1       3            .             0             0               11                1
        38       2       2            .             0             0               12                1
        38       3       4            .             0             1               12                3
        38       4       2   10890.2300             0             1               12                0
        38       5       2            .             0             2               12                3
        38       6       2   17835.9000             0             3               12                3
        38       7       2   19265.5400             0             4               12                3
        39       0       3            .             0             0                9                0
        39       1       3            .             0             0               10                1
        39       2       3            .             0             0               11                1
        39       3       3            .             0             0               12                1
        39       4       3            .             0             0               13                1
        39       5       3            .             0             0               14                1
        39       6       2    6642.2320             0             0               15                1
        39       7       1   46652.6100             0             1               15                3
        40       0       3            .             0             0               10                1
        40       1       3            .             0             0               11                1
        40       2       3            .             0             0               12                1
        40       3       3            .             0             0               13                1
        40       4       3            .             0             0               14                1
        40       5       4            .             0             0               15                1
        40       6       3            .             0             0               15                0
        40       7       1   30633.1300             0             0               16                1
        40       8       3            .             1             0               16                2
        41       0       3            .             0             0               10                1
        41       1       3            .             0             0               11                1
        41       2       3            .             0             0               12                1
        41       3       4            .             0             0               13                1
        41       4       4            .             0             0               13                0
        41       5       3            .             0             0               13                0
        41       6       3            .             0             0               14                1
        41       7       3            .             0             0               15                1
        42       0       3            .             0             0               10                1
        42       1       3            .             0             0               11                1
        42       2       3            .             0             0               12                1
        42       3       3            .             0             0               13                1
        42       4       3            .             0             0               14                1
        42       5       3            .             0             0               15                1
        42       6       3            .             0             0               16                1
        42       7       1   31862.2300             0             0               17                1
        43       0       3            .             0             0               10                1
        43       1       3            .             0             0               11                1
        43       2       3            .             0             0               12                1
        43       3       2   12759.4900             0             0               13                1
        43       4       3            .             0             1               13                3
        43       5       3            .             0             1               14                1
        43       6       3            .             0             1               15                1
        43       7       3            .             0             1               16                1
        43       8       3            .             0             1               17                1
        44       0       3            .             0             0               11                1
        44       1       2            .             0             0               12                1
        44       2       2   16133.8100             0             1               12                3
        44       3       2            .             0             2               12                3
        44       4       1            .             0             3               12                3
        44       5       1   16253.4400             1             3               12                2
        44       6       1            .             2             3               12                2
        45       0       4            .             0             0                9                0
        45       1       2    7533.0620             0             0                9                0
        45       2       1   14408.3800             0             1                9                3
        45       3       1   13928.5800             1             1                9                2
        45       4       1   18000.0500             2             1                9                2
        45       5       1   21269.3200             3             1                9                2
        45       6       2   24118.1700             4             1                9                2
        46       0       3            .             0             0                8                0
        46       1       2    8054.3960             0             0                9                1
        46       2       2    7718.1260             0             1                9                3
        46       3       2    7644.4920             0             2                9                3
        46       4       1    7583.7430             0             3                9                3
        46       5       2    7556.1150             1             3                9                2
        46       6       2   14994.6300             1             4                9                3
        46       7       2   13763.6500             1             5                9                3
        46       8       2   15159.9600             1             6                9                3
        46       9       2   17549.5700             1             7                9                3
        47       0       3            .             0             0               11                1
        47       1       3            .             0             0               12                1
        47       2       3            .             0             0               13                1
        47       3       3            .             0             0               14                1
        47       4       3            .             0             0               15                1
        47       5       1    8843.2240             0             0               16                1
        47       6       2   16048.7100             1             0               16                2
        47       7       2   16029.5300             1             1               16                3
        47       8       1   19611.9000             1             2               16                3
        48       0       3            .             0             0               10                1
        48       1       3            .             0             0               11                1
        48       2       2   16531.8000             0             0               12                1
        48       3       2   25539.3500             0             1               12                3
        48       4       2   31506.7000             0             2               12                3
        48       5       2   23494.1400             0             3               12                3
        48       6       2   41200.0000             0             4               12                3
        48       7       2   39531.3800             0             5               12                3
        48       8       2   36465.4800             0             6               12                3
        48       9       2   37012.6100             0             7               12                3
        48      10       1   41413.0400             0             8               12                3
        49       0       3            .             0             0               10                1
        49       1       3            .             0             0               11                1
        49       2       3            .             0             0               12                1
        49       3       3            .             0             0               13                1
        49       4       3            .             0             0               14                1
        49       5       3            .             0             0               15                1
        49       6       1   31641.0000             0             0               16                1
        49       7       1   24995.6400             1             0               16                2
        49       8       1   29637.6300             2             0               16                2
        50       0       3            .             0             0               10                1
        50       1       3            .             0             0               11                1
        50       2       2   11940.9100             0             0               12                1
        50       3       3            .             0             1               12                3
        50       4       2   26207.7500             0             1               13                1
        50       5       2   28901.9200             0             2               13                3
        50       6       2   28710.7700             0             3               13                3
        50       7       2   26236.6100             0             4               13                3
        51       0       4            .             0             0               10                1
        52       0       3            .             0             0                9                0
        52       1       3            .             0             0               10                1
        52       2       3            .             0             0               11                1
        52       3       4            .             0             0               12                1
        52       4       4            .             0             0               12                0
        52       5       3            .             0             0               12                0
        52       6       4            .             0             0               13                1
        52       7       1    8310.0150             0             0               13                0
        53       0       3            .             0             0               11                1
        53       1       2    7868.8750             0             0               12                1
        53       2       3            .             0             1               12                3
        53       3       3            .             0             1               13                1
        53       4       4            .             0             1               14                1
        53       5       2   11770.0700             0             1               14                0
        53       6       2    8159.7290             0             2               14                3
        53       7       2    8682.3840             0             3               14                3
        53       8       2   18140.1200             0             4               14                3
        53       9       2   60480.0300             0             5               14                3
        54       0       3            .             0             0               10                1
        54       1       3            .             0             0               11                1
        54       2       4            .             0             0               12                1
        54       3       4            .             0             0               12                0
        54       4       4            .             0             0               12                0
